Data Escala de Tempo 1 GE Simp 4;cod_aneel (tb_referenciacegusina (Usina));cod_nucleoaneel (tb_referenciacegusina (Usina));Data Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Selecione Tipo de GE Simp 4
05/01/2018 08:00:00;;;5/1/2018 8:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.017412
05/01/2018 09:00:00;;;5/1/2018 9:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.003247
05/01/2018 10:00:00;;;5/1/2018 10:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.000283
05/01/2018 11:00:00;;;5/1/2018 11:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.001105
05/01/2018 12:00:00;;;5/1/2018 12:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.007645
05/01/2018 13:00:00;;;5/1/2018 13:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.020188
05/01/2018 14:00:00;;;5/1/2018 14:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.036039
05/01/2018 15:00:00;;;5/1/2018 15:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.067704
05/01/2018 16:00:00;;;5/1/2018 16:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.081814
05/01/2018 17:00:00;;;5/1/2018 17:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.096882
05/01/2018 18:00:00;;;5/1/2018 18:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.118279
05/01/2018 19:00:00;;;5/1/2018 19:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.12976
05/01/2018 20:00:00;;;5/1/2018 20:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.126445
05/01/2018 21:00:00;;;5/1/2018 21:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.125602
05/01/2018 22:00:00;;;5/1/2018 22:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.113637
05/01/2018 23:00:00;;;5/1/2018 23:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.109173
06/01/2018 00:00:00;;;6/1/2018 0:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.091082
06/01/2018 01:00:00;;;6/1/2018 1:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.046976
06/01/2018 02:00:00;;;6/1/2018 2:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.020986
06/01/2018 03:00:00;;;6/1/2018 3:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.00704
06/01/2018 04:00:00;;;6/1/2018 4:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.001618
06/01/2018 05:00:00;;;6/1/2018 5:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.015818
06/01/2018 06:00:00;;;6/1/2018 6:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.13131
06/01/2018 07:00:00;;;6/1/2018 7:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.273985
06/01/2018 08:00:00;;;6/1/2018 8:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.258126
06/01/2018 09:00:00;;;6/1/2018 9:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.089095
06/01/2018 10:00:00;;;6/1/2018 10:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.023496
06/01/2018 11:00:00;;;6/1/2018 11:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.00812
06/01/2018 12:00:00;;;6/1/2018 12:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.028676
06/01/2018 13:00:00;;;6/1/2018 13:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.07638
06/01/2018 14:00:00;;;6/1/2018 14:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.085796
06/01/2018 15:00:00;;;6/1/2018 15:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.149044
06/01/2018 16:00:00;;;6/1/2018 16:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.173122
06/01/2018 17:00:00;;;6/1/2018 17:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.132811
06/01/2018 18:00:00;;;6/1/2018 18:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.045652
06/01/2018 19:00:00;;;6/1/2018 19:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.037154
06/01/2018 20:00:00;;;6/1/2018 20:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.02029
